quai,nombre_escales,heures_occupees,taux_occupation_moyen_pct,debit_moyen_escales_jour
P12,58.0,4528.649999998055,89.24617118348908,0.3908617355180324
P61,48.0,4300.116666665,85.27027863113298,0.2904463580464626
P51,41.0,3783.083333331667,74.52785244919106,0.3224476623587235
P4,25.0,3694.7499999983334,72.73773102427626,0.16149254062373614
P3,24.0,3283.9166666655556,65.70134317165501,0.18219526388231147
P13,25.0,3174.5166666650002,62.417997037491936,0.36048991906531036
P15,65.0,3111.9833333319443,61.7031695742539,0.6065590343224702
P16,54.0,3058.816666665278,59.86155532999046,0.42579649556503074
P1,43.0,2784.6333333319444,54.81748317603889,0.4150963845730882
P6,16.0,2560.6999999991667,49.87119023234917,0.15341684828275043
P7,14.0,2468.583333332778,47.98288195205274,0.17628055953464797
P2,26.0,2367.733333331945,46.72426654350774,0.26065522511571454
P14,64.0,2359.2333333325,46.52218199106,0.7224907498615448
P60,21.0,2270.866666665278,44.54456209004159,0.2381068463605207
P5,11.0,2023.3666666658332,40.07627916756501,0.13365488293344724
P52,23.0,1868.9166666655553,36.520837905032586,0.44163599083013466
P9,10.0,1570.9499999994446,31.478117456648846,0.15483170441585026
P11,4.0,247.33333333305555,4.918406206563138,1.1121307811220416
P8,4.0,233.6666666663889,4.577828981049454,0.9307560354625594
P10,2.0,92.3,1.8313492063492063,0.5200433369447454
